요구사항 ID,Category,Depth1,Depth2,Depth3,요구사항 상세 설명,기능/비기능,우선순위,비고,상태,담당자
REQ-AUTH-001,회원관리,회원가입,,,모든 비로그인 유저는 회원가입을 진행할 수 있습니다.

• 회원가입에 필요한 항목
    • 이메일
    • 비밀번호
    • 이름
    • 연령
    • 성별,기능,높음,JWT 기반 인증,대기중,
REQ-AUTH-002,회원관리,로그인,,,로그인 유저는 이메일과 비밀번호를 입력하여 로그인할 수 있습니다.

• 입력 항목
    • 이메일
    • 비밀번호,기능,높음,JWT 토큰 발급 (24시간 유효),대기중,
REQ-AUTH-003,회원관리,토큰 갱신,,,로그인 유저는 Refresh Token을 사용하여 Access Token을 갱신할 수 있습니다.,기능,높음,Refresh Token 유효기간: 30일,대기중,
REQ-AUTH-004,회원관리,로그아웃,,,로그인 유저는 로그아웃을 진행할 수 있습니다.,기능,중간,,대기중,
REQ-PROF-001,건강 프로필,프로필 등록,,,모든 로그인 유저는 개인 건강 프로필을 등록할 수 있습니다.

• 입력 항목
    • 기저질환 (당뇨, 고혈압, 신장 질환 등)
    • 알레르기 (페니실린, 설파제 등)
    • 복용 중인 약
    • 연령 / 성별,기능,높음,"프로필 입력 시 맞춤형 가이드 정교화
데이터 암호화 저장 (PHI 기준)",대기중,
REQ-PROF-002,건강 프로필,프로필 조회,,,로그인 유저는 자신의 건강 프로필을 조회할 수 있습니다.,기능,중간,,대기중,
REQ-PROF-003,건강 프로필,프로필 수정,,,로그인 유저는 자신의 건강 프로필을 수정할 수 있습니다.,기능,중간,,대기중,
REQ-PROF-004,건강 프로필,프로필 삭제,,,로그인 유저는 자신의 건강 프로필을 삭제할 수 있습니다.,기능,낮음,,대기중,
REQ-VISION-001,알약 식별,이미지 촬영,,,"모든 유저는 웹뷰 카메라를 통해 알약 이미지를 촬영하거나 갤러리에서 선택할 수 있습니다.

• 입력
    • 웹뷰 카메라 촬영 (HTML5 getUserMedia)
    • 또는 파일 선택",기능,높음,"카메라 접근 권한 처리
파일 업로드 인터페이스 제공",대기중,
REQ-VISION-002,알약 식별,알약 인식,,,"촬영된 알약 이미지를 Vision AI를 통해 자동 인식합니다.

• 처리
    • YOLOv8s 기반 객체 탐지
    • FastAPI 메타데이터 재랭킹 (색상/모양/각인)

• 출력
    • 약품 이름
    • 성분
    • 분류 정보",기능,높음,"정확도 목표: 98% 이상
5초 이내 결과 표시
AIhub 경구약제 이미지 데이터 활용",대기중,
REQ-VISION-003,알약 식별,인식 결과 표시,,,"알약 인식 결과를 사용자에게 표시합니다.

• 표시 항목
    • 약품명
    • 성분
    • 효능
    • 인식 신뢰도",기능,높음,인식 실패 시 "다시 촬영해주세요" 안내,대기중,
REQ-VISION-004,알약 식별,인식 이력 조회,,,모든 유저는 과거 알약 인식 이력을 조회할 수 있습니다.,기능,중간,,대기중,
REQ-OCR-001,처방전 OCR,이미지 촬영/업로드,,,"모든 유저는 웹뷰 카메라를 통해 처방전/약 봉투를 촬영하거나 파일을 선택할 수 있습니다.

• 입력
    • 웹뷰 카메라 촬영
    • 또는 파일 선택 (이미지)",기능,높음,"파일 입력 UI
이미지 프리뷰
진행 상태 표시",대기중,
REQ-OCR-002,처방전 OCR,텍스트 추출,,,"업로드된 처방전 이미지에서 텍스트를 자동 추출합니다.

• OCR 엔진
    • Naver Clova OCR (헬스케어 1기 지원)

• 출력
    • 약 이름
    • 복용 시간
    • 복용 횟수
    • 주의사항",기능,높음,정확도 목표: 98% 이상,대기중,
REQ-OCR-003,처방전 OCR,결과 확인/수정,,,"OCR 추출 결과를 사용자가 확인하고 수정할 수 있습니다.

• 기능
    • 추출된 정보 표시
    • 사용자 직접 수정 가능
    • 수정 완료 후 저장",기능,높음,,대기중,
REQ-PRESC-001,처방전 관리,처방전 업로드,,,모든 로그인 유저는 처방전을 업로드하고 저장할 수 있습니다.,기능,높음,AWS S3에 이미지 저장,대기중,
REQ-PRESC-002,처방전 관리,처방전 목록 조회,,,"모든 로그인 유저는 본인의 처방전 목록을 조회할 수 있습니다.

• 조회 항목
    • 처방전 이미지 썸네일
    • 약 이름
    • 복용 기간
    • 상태 (복용 중 / 완료)
    • 등록일시",기능,높음,날짜 역순 정렬,대기중,
REQ-PRESC-003,처방전 관리,처방전 상세 조회,,,모든 로그인 유저는 특정 처방전의 상세 정보를 조회할 수 있습니다.,기능,높음,,대기중,
REQ-PRESC-004,처방전 관리,처방전 삭제,,,모든 로그인 유저는 본인의 처방전을 삭제할 수 있습니다.,기능,중간,,대기중,
REQ-GUIDE-001,복약 가이드,가이드 생성,,,"알약 식별 또는 처방전 OCR 결과를 바탕으로 개인 맞춤형 복약 가이드를 생성합니다.

• 입력
    • OCR/Vision 추출 데이터
    • 사용자 건강 프로필

• 처리
    • OpenAI API (GPT-4o-mini/4o) + RAG

• 출력
    • 쉬운 언어의 복약 가이드
    • 복용 방법
    • 주의사항
    • 생활습관 가이드",기능,높음,"개발: GPT-4o-mini
배포/데모: GPT-4o
헬스케어 1기 지원",대기중,
REQ-GUIDE-002,복약 가이드,의학 용어 번역,,,복잡한 의학 용어를 쉬운 언어로 번역하여 표시합니다.,기능,높음,LLM을 통한 자동 번역,대기중,
REQ-GUIDE-003,복약 가이드,실버/시니어 모드,,,"고령층을 위한 실버 모드 UI를 제공합니다.

• 실버 모드 사양
    • 폰트 크기: 일반 대비 150% 이상 (24px 이상)
    • 표시 정보: 약 이름 · 복용 시간 · 횟수만 간결하게
    • 색상 대비: WCAG AA 기준 이상
    • 활성화: 설정 또는 자동(연령 기반)",기능,높음,"TDS 디자인 시스템 활용
반응형 레이아웃",대기중,
REQ-GUIDE-004,복약 가이드,TTS 자동 음성 안내,,,"복약 가이드 생성 완료 시 음성으로 자동 재생합니다.

• TTS 엔진
    • Web Speech API (브라우저 네이티브)
    • 또는 백엔드 TTS 서비스

• 기능
    • 자동 재생
    • 다시 듣기 버튼
    • 음량 조절
    • 재생 속도 조절",기능,높음,"브라우저 자동재생 정책 대응
사용자 인터랙션 후 재생
Web Speech API 미지원 시 OS 네이티브 TTS 활용",대기중,
REQ-GUIDE-005,복약 가이드,면책 조항 표시,,,"모든 가이드 화면 하단에 면책 조항을 상시 노출합니다.

• 면책 문구
    ""본 서비스는 복약 보조 수단이며, 의사 또는 약사의 전문적인 상담을 대체할 수 없습니다.""",기능,높음,법률 자문 완료 필요,대기중,
REQ-CHATBOT-001,AI 챗봇,챗봇 질문,,,"모든 유저는 AI 챗봇에게 복약 관련 질문을 할 수 있습니다.

• 아키텍처
    • RAG (Retrieval-Augmented Generation)

• 지식베이스
    • 약학정보원 (KIMS)
    • 식약처 e약은요 API

• Vector DB
    • Pinecone 또는 FAISS

• LLM
    • OpenAI API (GPT-4o-mini/4o)",기능,높음,"응답 시간 5초 이내
지식베이스에 없는 질문은 ""전문가 상담 권장"" 안내",대기중,
REQ-CHATBOT-002,AI 챗봇,챗봇 답변 생성,,,사용자 질문에 대한 RAG 기반 답변을 생성합니다.,기능,높음,모든 답변 하단 면책 조항 노출,대기중,
REQ-CHATBOT-003,AI 챗봇,대화 이력 조회,,,모든 로그인 유저는 과거 챗봇 대화 이력을 조회할 수 있습니다.,기능,중간,비식별화 후 서비스 개선에 활용,대기중,
REQ-SCHED-001,복약 알림,알림 자동 생성,,,"OCR 추출된 복용 시간 정보를 바탕으로 복약 알림을 자동 생성합니다.

• 알림 서버
    • 토스 앱인토스 알림 API

• 알림 내용
    • 약 이름
    • 복용 시간
    • 복용량",기능,높음,토스 앱인토스 알림 API 연동,대기중,
REQ-SCHED-002,복약 알림,알림 목록 조회,,,모든 로그인 유저는 예정된 복약 알림 목록을 조회할 수 있습니다.,기능,중간,,대기중,
REQ-SCHED-003,복약 알림,알림 수정,,,모든 로그인 유저는 복약 알림 시간을 수정할 수 있습니다.,기능,중간,,대기중,
REQ-SCHED-004,복약 알림,알림 삭제,,,모든 로그인 유저는 복약 알림을 삭제할 수 있습니다.,기능,중간,,대기중,
REQ-SCHED-005,복약 알림,복용 완료 처리,,,"알림 수신 시 ""복용 완료"" 버튼을 클릭하여 복용 완료 처리할 수 있습니다.",기능,중간,,대기중,
REQ-DASH-001,복약 기록 관리,복약 이력 조회,,,"모든 로그인 유저는 본인의 복약 이력을 조회할 수 있습니다.

• 표시 항목
    • 처방전 이미지
    • 약 이름
    • 복용 기간
    • 상태 (복용 중 / 완료)
    • 등록일시",기능,높음,리스트 형태 (날짜 역순),대기중,
REQ-DASH-002,복약 기록 관리,이력 상세 조회,,,모든 로그인 유저는 특정 복약 이력을 클릭하여 상세 복약 가이드를 재열람할 수 있습니다.,기능,중간,,대기중,
REQ-DASH-003,복약 기록 관리,이력 삭제,,,모든 로그인 유저는 본인의 복약 이력을 삭제할 수 있습니다.,기능,낮음,,대기중,
REQ-TRACK-001,복약 순응도,복용 완료 체크,,,"알림 수신 시 ""복용 완료"" 체크 버튼을 통해 복용 완료 처리합니다.",기능,중간,P1 기능,대기중,
REQ-TRACK-002,복약 순응도,순응도 리포트 조회,,,"모든 로그인 유저는 주간/월간 복용률 차트를 조회할 수 있습니다.

• 표시 항목
    • 복용 완료율 (%)
    • 복용 패턴 차트
    • 미복용 횟수",기능,낮음,P1 기능,대기중,
REQ-TRACK-003,복약 순응도,미복용 재알림,,,미복용 시 최대 N회 재알림을 발송합니다.,기능,낮음,P1 기능,대기중,
REQ-PHARM-001,약사 연동,환자 검색,,,"약사는 전용 웹에서 환자 이름·생년월일로 검색할 수 있습니다.

• 플랫폼
    • 웹 (React / Vue.js)",기능,중간,P1 기능,대기중,
REQ-PHARM-002,약사 연동,복약 지도 작성,,,약사는 복약 지도문을 작성할 수 있습니다.,기능,중간,"P1 기능
복약 지도 템플릿 제공",대기중,
REQ-PHARM-003,약사 연동,푸시 알림 발송,,,"약사는 환자에게 맞춤형 복약 지도를 푸시 알림으로 발송할 수 있습니다.

• 알림 서버
    • 토스 앱인토스 알림 API",기능,중간,P1 기능,대기중,
REQ-PHARM-004,약사 연동,발송 이력 관리,,,약사는 본인의 푸시 발송 이력을 조회하고 관리할 수 있습니다.,기능,낮음,P1 기능,대기중,
REQ-NEARBY-001,약국 찾기,운영 약국 조회,,,"모든 유저는 현재 위치 기반으로 운영 중인 약국을 조회할 수 있습니다.

• API
    • 네이버 플레이스 API

• 표시 정보
    • 약국명
    • 거리
    • 영업 시간
    • 전화번호",기능,낮음,P1 기능,대기중,
REQ-NEARBY-002,약국 찾기,지도/리스트 뷰 전환,,,약국 조회 결과를 지도 뷰와 리스트 뷰로 전환할 수 있습니다.,기능,낮음,P1 기능,대기중,
REQ-NEARBY-003,약국 찾기,전화 연결,,,조회된 약국에 전화 연결 버튼을 제공합니다.,기능,낮음,P1 기능,대기중,
REQ-FAMILY-001,가족 관리,가족 연결 요청,,,"보호자는 가족 구성원을 연결 요청할 수 있습니다.

• 대상
    • 보호자 (부모님·자녀·배우자 복약 관리)",기능,낮음,P2 기능,대기중,
REQ-FAMILY-002,가족 관리,가족 연결 수락/거절,,,가족 연결 요청을 수락하거나 거절할 수 있습니다.,기능,낮음,P2 기능,대기중,
REQ-FAMILY-003,가족 관리,가족 복약 현황 조회,,,보호자는 연결된 가족 구성원의 복약 현황을 통합 대시보드로 조회할 수 있습니다.,기능,낮음,P2 기능,대기중,
REQ-FAMILY-004,가족 관리,가족 알림 대리 수신,,,보호자는 가족 구성원의 복약 알림을 대리 수신할 수 있습니다.,기능,낮음,P2 기능,대기중,
REQ-INTERACT-001,병용금기,약물 상호작용 체크,,,"복용 중인 약물 리스트를 기반으로 상호작용 경고를 표시합니다.

• 데이터
    • 건강보험심사평가원 병용금기 데이터",기능,낮음,P2 기능,대기중,
REQ-INTERACT-002,병용금기,경고 배지 표시,,,병용금기 약물이 감지되면 경고 배지 + 상세 설명을 표시합니다.,기능,낮음,P2 기능,대기중,
REQ-INTERACT-003,병용금기,약사 상담 권장,,,병용금기 감지 시 약사 상담을 권장하는 안내를 표시합니다.,기능,낮음,P2 기능,대기중,
REQ-CONTENT-001,건강 콘텐츠,웹툰 연재,,,"건강 관련 웹툰을 주 1회 이상 제공합니다.

• 형식
    • 웹툰 (카드뉴스 또는 세로스크롤)

• 배포
    • 앱 내 콘텐츠 탭 + SNS 연동",기능,낮음,P2 기능,대기중,
REQ-CONTENT-002,건강 콘텐츠,콘텐츠 조회,,,모든 유저는 건강 관련 웹툰 콘텐츠를 조회할 수 있습니다.,기능,낮음,P2 기능,대기중,
REQ-EMERG-001,응급 정보,응급 카드 등록,,,"모든 로그인 유저는 응급 상황 시 필요한 정보를 응급 카드로 등록할 수 있습니다.

• 입력 항목
    • 복용 중인 약
    • 알레르기 정보
    • 기저질환
    • 비상 연락처",기능,낮음,P2 기능,대기중,
REQ-EMERG-002,응급 정보,응급 카드 조회,,,응급 카드를 빠르게 조회할 수 있습니다.,기능,낮음,P2 기능,대기중,
REQ-EMERG-003,응급 정보,응급 카드 수정,,,응급 카드 정보를 수정할 수 있습니다.,기능,낮음,P2 기능,대기중,
REQ-NF-001,비기능 요구사항,성능 - 응답 시간,,,"AI 분석(OCR·Vision) → 가이드 생성 전체 프로세스가 5초 이내에 완료되어야 합니다.",비기능,높음,KPI,대기중,
REQ-NF-002,비기능 요구사항,정확성 - 인식률,,,"OCR/Vision AI 인식률이 98% 이상이어야 합니다.",비기능,높음,KPI,대기중,
REQ-NF-003,비기능 요구사항,보안 - 전송 암호화,,,모든 데이터 전송은 SSL/TLS로 암호화되어야 합니다.,비기능,높음,표준 보안 요구사항,대기중,
REQ-NF-004,비기능 요구사항,보안 - 저장 암호화,,,"개인건강정보(PHI)는 AES-256으로 암호화하여 저장해야 합니다.",비기능,높음,개인정보보호법 준수,대기중,
REQ-NF-005,비기능 요구사항,사용성 - 접근성,,,"실버/시니어 모드, 고대비·대형 폰트를 제공하여 고령층 접근성을 확보해야 합니다.",비기능,높음,WCAG AA 기준 이상,대기중,
REQ-NF-006,비기능 요구사항,플랫폼 - 웹뷰 호환성,,,토스 앱인토스 웹뷰 환경에서 정상 동작해야 합니다.,비기능,높음,HTML5 getUserMedia API 지원,대기중,
REQ-NF-007,비기능 요구사항,디자인 - TDS 준수,,,TDS (토스 디자인 시스템)을 필수 사용해야 합니다.,비기능,높음,비게임 앱 필수,대기중,
REQ-NF-008,비기능 요구사항,안전성 - LLM 환각 억제,,,"System Prompt 엔지니어링 + RAG 기반으로 LLM 환각을 억제해야 합니다.",비기능,높음,의료 정보 신뢰성,대기중,
REQ-NF-009,비기능 요구사항,법률 - 개인정보보호법 준수,,,개인정보보호법을 준수하여 PHI 수집·처리·보관해야 합니다.,비기능,높음,법률 자문 완료 필요,대기중,
REQ-NF-010,비기능 요구사항,법률 - 의료법 준수,,,의료법에서 정한 AI 의료 정보 서비스 범위를 준수해야 합니다.,비기능,높음,법률 자문 완료 필요,대기중,
REQ-NF-011,비기능 요구사항,확장성 - MSA 아키텍처,,,마이크로서비스 아키텍처 기반으로 설계하여 확장성을 확보해야 합니다.,비기능,중간,FastAPI 기반,대기중,
REQ-NF-012,비기능 요구사항,가용성 - Rate Limiting,,,API Rate Limiting을 적용하여 서비스 가용성을 보장해야 합니다.,비기능,중간,Nginx 레벨 적용,대기중,